T  E devE M devM
0 3.08178e+06 0.73951 0.9375 0
0.1 3.08178e+06 -nan(ind) 0.0306227 0.104827
0.2 3.08178e+06 -nan(ind) 0.0585766 0.166387
0.3 3.08178e+06 0.444146 0.0752773 0.113083
0.4 3.08178e+06 0.176777 -0.0476391 0.128733
0.5 3.08178e+06 0.299739 -0.0369367 0.0989263
0.6 3.08178e+06 0.306186 0.111984 0.09043
0.7 3.08178e+06 -nan(ind) 0.0929297 0.124442
0.8 3.04078e+06 95443.6 0.114514 0.123086
0.9 3.08178e+06 0.40984 0.0663852 0.104511
1 3.0668e+06 60964.2 0.0954766 0.136264
1.1 3.06888e+06 56810.5 0.0652648 0.0787985
1.2 3.05359e+06 81383.5 0.0371937 0.129679
1.3 3.03883e+06 97254.7 0.0534094 0.121464
1.4 3.01367e+06 115263 0.0988086 0.092503
1.5 3.01638e+06 113728 0.0416633 0.117094
1.6 3.00227e+06 120840 -0.0204719 0.103463
1.7 2.96182e+06 131071 -0.0197992 0.104805
1.8 2.98446e+06 127046 0.00637344 0.138993
1.9 2.98619e+06 126565 0.0709414 0.107102
2 2.93614e+06 130833 0.0594875 0.132879
2.1 2.94711e+06 131550 0.043668 0.0785047
2.2 2.98543e+06 126780 0.0524078 0.084068
2.3 2.99143e+06 124957 -0.0313055 0.0799179
2.4 2.98206e+06 127668 0.0440398 0.101404
2.5 2.9284e+06 129769 -0.0549695 0.1335
2.6 2.96388e+06 130873 0.00248828 0.0753772
2.7 3.02106e+06 110869 -0.0349508 0.0921244
2.8 2.96725e+06 130476 0.0363203 0.108352
2.9 2.97151e+06 129848 0.0157688 0.0664403
3 2.9359e+06 130808 0.0227047 0.111018
3.1 2.95624e+06 131447 -0.0231977 0.092924
3.2 2.98593e+06 126640 0.0443727 0.120902
3.3 3.0013e+06 121255 0.0681469 0.0874605
3.4 3.00475e+06 119744 0.0476688 0.112213
3.5 2.94435e+06 131456 -0.0581492 0.0934296
3.6 2.98088e+06 127958 0.0385438 0.0871251
3.7 2.95524e+06 131489 0.0196742 0.111503
3.8 2.98117e+06 127888 0.0573602 0.0815088
3.9 2.92848e+06 129782 0.0252758 0.0795242
4 2.96932e+06 130188 -0.0047625 0.0901566
4.1 2.95653e+06 131433 0.0429586 0.0811992
4.2 2.94645e+06 131533 0.0118586 0.0879876
4.3 2.94624e+06 131527 0.0352586 0.088126
4.4 2.9518e+06 131576 0.0137211 0.0886578
4.5 2.94664e+06 131538 0.00316406 0.0949262
4.6 2.90193e+06 122414 0.047868 0.0827645
4.7 2.90882e+06 124913 0.0312008 0.0864179
4.8 2.89993e+06 121607 0.00828438 0.077268
4.9 2.93782e+06 131003 0.0332578 0.0806891
5 2.97151e+06 129848 0.0133016 0.0921075
